f:,f:,f:,s:,d:,d:,d:,d:,s:,f:,f:,s:,d:,s:,.:,.:f
.:,m:,s:,d:,d:,d:,d:,d:,s:,f:,.:f,s:h,s:,s:,m:o,f:
s:h,s:,d:,d:,d:r,d:,d:,s:h,.:,.:f,.:,c:,.:f,f:a,v:,.:c
f:,s:h,s:h,s:w,d:w,d:,s:h,m:o,.:,.:,f:a,.:c,.:c,m:,.:c,.:c
.:,s:,c:,f:a,s:,d:,s:h,v:,.:c,.:,m:o,f:,.:,m:,f:,f:
.:,m:,f:a,.:f,s:,d:,d:,s:,.:c,.:,v:,m:o,.:c,m:,v:,.:
.:f,f:a,.:f,.:f,.:,s:,s:h,f:,.:,m:,.:f,.:f,s:,s:,s:h,s:
f:a,v:,f:a,.:,v:,.:c,.:,v:,f:a,f:a,s:,s:,d:w,d:,d:,d:
f:,f:,f:,s:,d:,d:,d:,d:,s:,f:,f:,s:,d:,s:,.:,.:f
.:,m:,s:,d:,d:,d:,d:,d:,s:,f:,.:f,s:h,s:,s:,m:o,f:
s:h,s:,d:,d:,d:r,d:,d:,s:h,.:,.:f,.:,c:,.:f,f:a,v:,.:c
f:,s:h,s:h,s:w,d:w,d:,s:h,m:o,.:,.:,f:a,.:c,.:c,m:,.:c,.:c
.:,s:,c:,f:a,s:,d:,s:h,v:,.:c,.:,m:o,f:,.:,m:,f:,f:
.:,m:,f:a,.:f,s:,d:,d:,s:,.:c,.:,v:,m:o,.:c,m:,v:,.:
.:f,f:a,.:f,.:f,.:,s:,s:h,f:,.:,m:,.:f,.:f,s:,s:,s:h,s:
f:a,v:,f:a,.:,v:,.:c,.:,v:,f:a,f:a,s:,s:,d:w,d:,d:,d:
